,0,1,2,3,4,5,6,7,8,9,10,11,target
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12,1.0,0.8176462,0.7789463,0.8192376,0.7137759,0.6932845,0.7310703,0.8032437,0.7968475,0.91639405,0.8083793,0.89407986,4.0
13,0.68594164,0.71319973,0.8449114,1.0,0.91674334,0.86340487,0.67144805,0.54672056,0.44846496,0.57750374,0.514222,0.54256606,4.0
14,0.5701454,0.32751706,0.3262231,0.42392513,0.4046904,0.2915048,0.24762604,0.18649426,0.2589873,0.3005687,0.60081905,1.0,4.0
15,0.86523116,0.9839188,0.7531161,0.9146511,0.6806405,0.35191008,0.16376527,0.18821955,0.34506232,0.21564281,0.41327313,1.0,4.0
16,0.7625261,1.0,0.5880534,0.40846044,0.19018362,0.15603663,0.08609708,0.14469817,0.26276416,0.12573971,0.2112687,0.47460052,4.0
17,0.66547894,1.0,0.5653315,0.4120709,0.1556092,0.07251394,0.052356396,0.09541779,0.19341451,0.09229875,0.10087793,0.3335798,4.0
18,0.6093453,1.0,0.550521,0.4627548,0.15897904,0.09663393,0.09367045,0.18448816,0.42857257,0.19788425,0.09102766,0.29493052,4.0
19,0.5391321,0.8901683,0.4628496,0.6102776,0.19268256,0.10746162,0.12594984,0.43244773,1.0,0.41046658,0.08893046,0.24327777,4.0
